Weather,Holiday,last category,next category
Weather.Cold,Holiday.Hannuka,salad,Soup
Weather.Cold,Holiday.Hannuka,Soup,Soup
Weather.Cold,Holiday.Tubishvat,Soup,Soup
Weather.Cold,Holiday.Succot,Quiche,Soup
Weather.Cold,Holiday.Pesach,Quiche,Soup
Weather.Cold,Holiday.Pesach,Quiche,Soup
Weather.Cold,Holiday.Succot,salad,Soup
Weather.Cold,,Fish,Soup
Weather.Cold,,Fish,Soup
weather.Regular,,Soup,Soup
weather.Regular,Holiday.Pesach,Soup,Soup
weather.Regular,Holiday.Pesach,Soup,Soup
weather.Regular,,Soup,Soup
weather.Regular,,Soup,Soup
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Tubishvat,salad,salad
weather.Regular,Holiday.Pesach,salad,salad
weather.Regular,Holiday.Pesach,salad,salad
weather.Regular,,salad,salad
weather.Regular,Holiday.Succot,salad,salad
weather.Regular,,salad,salad
weather.Regular,,salad,salad
weather.Regular,,salad,salad
Weather.Hot,,salad,salad
Weather.Hot,,salad,salad
Weather.Cold,Holiday.Hannuka,Desert,Desert
Weather.Cold,Holiday.Hannuka,Desert,Desert
Weather.Cold,Holiday.Hannuka,Desert,Desert
weather.Regular,Holiday.Tubishvat,Desert,Desert
weather.Regular,Holiday.Purim,Desert,Desert
weather.Regular,Holiday.Pesach,Desert,Desert
weather.Regular,Holiday.Pesach,Desert,Desert
Weather.Hot,Holiday.Pesach,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Cold,Holiday.Succot,Desert,Desert
Weather.Cold,,Desert,Desert
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Tubishvat,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Purim,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Hot,Holiday.Shavouot,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,Desert,CakeAndCookies
Weather.Cold,Holiday.Hannuka,Breads,Breads
Weather.Cold,Holiday.Hannuka,Breads,Breads
Weather.Cold,Holiday.RoshHashana,Breads,Breads
Weather.Cold,Holiday.Succot,Breads,Breads
Weather.Regular,Holiday.Succot4.6,Breads,Breads
Weather.Regular,,Breads,Breads
Weather.Regular,Holiday.Shavouot,Breads,Breads
Weather.Regular,,Breads,Breads
Weather.Cold,,Breads,Breads
weather.Regular,,Breads,Breads
weather.Regular,,Breads,Breads
Weather.Cold,Holiday.RoshHashana,Fish,Fish
Weather.Cold,Holiday.Shavouot,Fish,Fish
Weather.Cold,Holiday.Succot,Fish,Fish
Weather.Regular,,Fish,Fish
Weather.Regular,,Fish,Fish
Weather.Regular,,Fish,Fish
Weather.Hot,,Fish,Fish
Weather.Hot,,Fish,Fish
Weather.Cold,Holiday.RoshHashana,Chicken,Chicken
Weather.Cold,Holiday.Succot,Chicken,Chicken
Weather.Cold,,Chicken,Chicken
Weather.Regular,,Chicken,Chicken
Weather.Regular,,Chicken,Chicken
Weather.Regular,,Chicken,Chicken
Weather.Hot,,Chicken,Chicken
Weather.Hot,,Chicken,Chicken
Weather.Hot,,Chicken,Chicken
Weather.Cold,Holiday.RoshHashana,Meat,Meat
Weather.Cold,Holiday.Succot,Meat,Meat
Weather.Cold,,Meat,Meat
Weather.Cold,,Meat,Meat
Weather.Cold,,Meat,Meat
Weather.Cold,,Meat,Meat
Weather.Cold,,Meat,Meat
Weather.Regular,,Meat,Meat
Weather.Regular,,Meat,Meat
Weather.Regular,,Meat,Meat
Weather.Hot,Holiday.Shavouot,Fish,Meat
Weather.Hot,,Fish,Meat
Weather.Cold,Holiday.Hannuka,Quiche,Quiche
Weather.Cold,Holiday.Hannuka,Quiche,Quiche
Weather.Cold,Holiday.Hannuka,Quiche,Quiche
Weather.Cold,Holiday.Succot,Quiche,Quiche
Weather.Regular,,Quiche,Quiche
Weather.Regular,,Quiche,Quiche
Weather.Regular,Holiday.Shavouot,Quiche,Quiche
Weather.Regular,Holiday.Shavouot,Quiche,Quiche
Weather.Regular,,Quiche,Quiche
Weather.Hot,,Quiche,Quiche
Weather.Hot,,Quiche,Quiche
Weather.Hot,,Soup,Quiche
Weather.Hot,,Soup,Quiche
Weather.Cold,Holiday.Hannuka,Pasta,Pasta
Weather.Cold,Holiday.Hannuka,Pasta,Pasta
Weather.Cold,Holiday.Hannuka,Pasta,Pasta
Weather.Cold,Holiday.Shavouot,Pasta,Pasta
Weather.Regular,Holiday.Succot,Pasta,Pasta
Weather.Regular,,Pasta,Pasta
Weather.Regular,,Pasta,Pasta
Weather.Regular,,Pasta,Pasta
Weather.Regular,,Pasta,Pasta
Weather.Hot,,Pasta,Pasta
Weather.Hot,,Pasta,Pasta
Weather.Hot,,CakeAndCookies,Desert
Weather.Hot,Holiday.Succot,CakeAndCookies,Desert
Weather.Hot,5.7,Breads,Desert
Weather.Hot,Holiday.Succot,CakeAndCookies,Desert
Weather.Hot,,salad,Desert
Weather.Cold,,Desert,CakeAndCookies
Weather.Cold,,Desert,CakeAndCookies
Weather.Cold,,Breads,CakeAndCookies
Weather.Cold,,salad,CakeAndCookies
Weather.Hot,,Quiche,Breads
Weather.Hot,,salad,Breads
Weather.Hot,,Pasta,Breads
Weather.Hot,,CakeAndCookies,Breads
Weather.Hot,Holiday.Succot,Chicken,Fish
Weather.Hot,,Chicken,Fish
Weather.Hot,,Meat,Fish
Weather.Hot,,Meat,Fish
Weather.Hot,,Meat,Fish
Weather.Hot,Holiday.RoshHashana,Pasta,salad
Weather.Hot,Holiday.Shavouot,Pasta,salad
Weather.Hot,,Pasta,salad
Weather.Hot,,Pasta,salad
Weather.Cold,,Meat,Chicken
Weather.Hot,,Meat,Chicken
Weather.Hot,,Meat,Chicken
Weather.Hot,Holiday.Succot,Meat,Chicken
Weather.Hot,,Meat,Chicken
Weather.Hot,,Meat,Quiche
Weather.Hot,,salad,Quiche
Weather.Hot,,Soup,Quiche
Weather.Hot,,Soup,Pasta
Weather.Hot,Holiday.Shavouot,salad,Pasta
